,,Total,A1 Are you...?,,A2 What is your age?,,,,,,A3 What is your ethnic group?,,,,,,,,,,,A6 Which region or nation do you live in?,,,,,,,,,,,,"Q2 More specifically, what is the highest level of educational qualifications you have achieved?",,,,,,,,Q4 Thinking about the property you live in. Does your household own or rent this accommodation?,,,,,,,Q8 What is your religion?,,,,,,,,Q13 Were either of your parents born outside the United Kingdom?,,,A5 Were you born in the UK?,,"Q48 Some people say the following things are important for being ""truly British'.   Which of the following do you think is most important? Please select up to three. |",,,,,,,,,,,,"Q51.1_2: Q51.1 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | Black and minority ethnic people",,,"Q51.2_2: Q51.2 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | White people",,,"Q51.3_2: Q51.3 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | Poor people",,,"Q51.4_2: Q51.4 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | Old people",,,"Q51.5_2: Q51.5 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | Young people",,,"Q51.6_2: Q51.6 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | People on welfare benefits",,,"Q51.7_2: Q51.7 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | LGBTQ+ people",,
Q52.2 To what extent do you agree or disagree with the following statements? | My ethnic background has made it more difficult for me to get ahead,Unweighted base,3992,1736,2230,740,1015,966,694,447,130,276,148,744,677,64,683,297,563,261,197,82,253,256,1104,157,521,63,355,120,70,685,48,350,119,326,416,822,98,436,197,1578,967,579,37,994,1187,118,110,87,1416,339,11,1201,727,148,63,2595,1323,74,1062,2477,764,1363,416,831,1395,321,1355,1452,256,411,919,398,663,1390,1939,2438,1092,462,890,1768,1334,1425,1850,717,1494,1885,613,1031,1925,1036,1055,1747,1190
,Weighted base,3920,1856,2029,623,897,918,894,450,138,242,192,690,621,130,572,260,471,310,344,88,269,239,1065,131,506,69,344,108,65,700,60,353,154,382,461,855,109,387,225,1346,991,817,47,1200,676,116,72,67,1183,386,18,1415,577,169,105,2748,1088,84,1191,2257,733,1350,370,855,1399,264,1313,1480,194,357,903,400,660,1407,1852,2430,1090,399,897,1751,1271,1403,1848,669,1477,1879,564,998,1924,997,1069,1735,1115
,Strongly disagree,13%,13%,14%,12%,13%,15%,14%,13%,16%,13%,13%,10%,12%,12%,14%,10%,16%,20%,16%,18%,12%,18%,13%,12%,14%,12%,16%,24%,29%,12%,10%,8%,21%,11%,13%,13%,9%,14%,16%,14%,16%,11%,17%,12%,14%,20%,6%,14%,15%,13%,24%,12%,16%,10%,16%,14%,14%,4%,16%,12%,10%,16%,14%,17%,16%,13%,14%,16%,12%,11%,12%,10%,18%,16%,10%,14%,13%,11%,16%,13%,12%,18%,11%,11%,17%,12%,12%,18%,13%,11%,17%,12%,12%
,Somewhat disagree,14%,14%,14%,16%,14%,16%,14%,13%,12%,15%,15%,14%,16%,17%,17%,8%,18%,13%,9%,12%,14%,18%,15%,18%,14%,19%,13%,14%,19%,14%,8%,13%,8%,12%,14%,14%,19%,19%,18%,14%,14%,13%,6%,16%,15%,15%,7%,16%,13%,14%,17%,15%,15%,12%,12%,14%,15%,14%,14%,15%,15%,16%,13%,14%,15%,10%,16%,17%,13%,14%,18%,6%,14%,17%,12%,13%,17%,14%,14%,15%,14%,14%,16%,11%,14%,15%,13%,14%,16%,11%,14%,15%,13%
,Neither agree nor disagree,27%,27%,27%,28%,24%,27%,31%,26%,28%,22%,34%,30%,27%,32%,24%,21%,28%,27%,30%,20%,24%,27%,26%,27%,25%,28%,28%,30%,12%,28%,36%,34%,31%,29%,28%,26%,31%,27%,29%,26%,27%,26%,37%,27%,29%,20%,24%,27%,24%,28%,0%,28%,32%,29%,21%,27%,27%,33%,28%,27%,25%,27%,25%,26%,28%,29%,27%,27%,25%,26%,27%,29%,28%,31%,24%,27%,32%,18%,27%,31%,22%,27%,29%,21%,26%,30%,19%,29%,28%,22%,27%,30%,24%
,Somewhat agree,30%,30%,29%,29%,32%,27%,27%,36%,31%,33%,27%,31%,30%,24%,31%,43%,26%,18%,33%,27%,31%,27%,31%,26%,29%,26%,30%,20%,25%,30%,27%,31%,15%,30%,30%,31%,28%,26%,22%,32%,28%,33%,21%,30%,27%,37%,16%,29%,33%,33%,53%,28%,25%,34%,16%,31%,28%,15%,28%,31%,32%,29%,29%,31%,31%,31%,30%,28%,33%,30%,29%,26%,25%,26%,34%,31%,27%,31%,26%,29%,32%,26%,31%,32%,28%,31%,31%,25%,30%,33%,26%,29%,34%
,Strongly agree,11%,11%,11%,11%,13%,12%,11%,9%,9%,13%,8%,13%,12%,7%,12%,16%,8%,6%,10%,22%,11%,8%,12%,9%,13%,10%,11%,8%,11%,12%,7%,10%,13%,10%,10%,11%,10%,12%,7%,12%,11%,12%,9%,12%,11%,5%,9%,13%,12%,11%,6%,12%,9%,12%,10%,11%,12%,4%,11%,11%,14%,10%,16%,9%,8%,14%,12%,10%,13%,17%,13%,11%,8%,7%,16%,12%,7%,18%,10%,8%,17%,10%,9%,17%,11%,9%,20%,9%,9%,17%,10%,10%,13%
,NET,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
,Don't know,4%,4%,4%,4%,4%,4%,5%,5%,4%,4%,4%,2%,4%,8%,2%,3%,4%,16%,3%,1%,8%,2%,3%,8%,5%,3%,3%,3%,5%,4%,12%,4%,12%,7%,5%,5%,2%,3%,9%,2%,4%,5%,10%,2%,3%,3%,38%,2%,4%,2%,0%,4%,5%,2%,25%,3%,5%,29%,4%,4%,4%,2%,4%,2%,2%,2%,2%,2%,5%,3%,2%,18%,7%,4%,4%,4%,4%,8%,7%,3%,4%,4%,3%,7%,4%,4%,6%,5%,3%,6%,5%,3%,4%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q52.3 To what extent do you agree or disagree with the following statements? | Certain minority groups have started to do extremely well in Britain - even more so than white Britons,Unweighted base,3993,1736,2231,740,1016,966,694,447,130,276,148,744,677,64,683,298,563,261,197,82,253,256,1104,157,521,63,355,120,70,686,48,350,119,326,417,822,98,436,197,1578,967,580,37,994,1187,118,110,87,1417,339,11,1201,727,148,63,2595,1324,74,1062,2478,764,1363,416,832,1396,321,1355,1452,256,411,919,398,663,1390,1940,2439,1092,462,890,1769,1334,1425,1851,717,1494,1885,614,1031,1925,1037,1055,1747,1191
,Weighted base,3921,1856,2030,623,899,918,894,450,138,242,192,690,621,130,572,261,471,310,344,88,269,239,1065,131,506,69,344,108,65,701,60,353,154,382,462,855,109,387,225,1346,991,818,47,1200,676,116,72,67,1184,386,18,1415,577,169,105,2748,1090,84,1191,2258,733,1350,370,857,1400,264,1313,1480,194,357,903,400,660,1407,1853,2432,1090,399,897,1753,1271,1403,1849,669,1477,1879,565,998,1924,999,1069,1735,1116
,Strongly disagree,4%,3%,4%,3%,4%,4%,4%,4%,3%,4%,3%,2%,2%,0%,4%,8%,7%,4%,3%,5%,4%,3%,4%,2%,3%,12%,3%,5%,4%,3%,4%,4%,7%,5%,6%,4%,5%,3%,3%,3%,4%,5%,5%,3%,3%,2%,6%,6%,4%,4%,0%,3%,5%,1%,7%,4%,4%,1%,3%,4%,3%,3%,4%,3%,3%,3%,3%,3%,3%,3%,3%,8%,3%,2%,5%,4%,2%,5%,2%,3%,6%,3%,4%,5%,3%,4%,5%,3%,4%,5%,3%,3%,5%
,Somewhat disagree,8%,7%,9%,8%,8%,8%,8%,8%,8%,6%,10%,7%,8%,10%,8%,5%,13%,6%,7%,10%,7%,7%,9%,5%,9%,6%,10%,6%,14%,8%,7%,6%,5%,10%,7%,8%,17%,9%,7%,7%,6%,9%,7%,9%,8%,9%,2%,8%,9%,8%,13%,7%,13%,4%,4%,7%,12%,8%,5%,10%,9%,6%,9%,8%,7%,14%,8%,7%,14%,10%,9%,7%,7%,8%,9%,8%,8%,9%,7%,8%,9%,8%,8%,8%,8%,9%,7%,7%,8%,10%,6%,8%,10%
,Neither agree nor disagree,25%,24%,25%,27%,25%,25%,24%,24%,20%,20%,24%,22%,23%,26%,24%,22%,27%,27%,31%,30%,20%,20%,25%,24%,26%,26%,29%,29%,30%,21%,31%,28%,33%,27%,24%,26%,25%,26%,27%,22%,24%,29%,32%,22%,24%,20%,23%,26%,23%,21%,30%,25%,30%,18%,27%,24%,26%,28%,22%,26%,23%,25%,25%,24%,24%,22%,23%,24%,18%,26%,23%,29%,27%,27%,22%,22%,31%,22%,25%,28%,20%,24%,27%,21%,22%,27%,24%,26%,26%,20%,23%,27%,23%
,Somewhat agree,37%,39%,35%,33%,37%,36%,40%,37%,45%,37%,45%,39%,38%,35%,36%,41%,32%,31%,41%,36%,34%,41%,38%,45%,34%,38%,37%,44%,31%,38%,23%,37%,25%,34%,37%,36%,29%,38%,35%,41%,38%,31%,34%,41%,39%,38%,22%,41%,38%,38%,49%,38%,33%,47%,20%,39%,34%,27%,41%,34%,37%,41%,38%,41%,41%,37%,39%,41%,36%,31%,40%,20%,32%,40%,37%,38%,36%,36%,35%,39%,36%,35%,40%,35%,38%,38%,33%,33%,40%,35%,37%,40%,34%
,Strongly agree,21%,21%,21%,22%,20%,22%,20%,21%,20%,27%,13%,26%,24%,22%,24%,18%,16%,16%,15%,19%,25%,25%,20%,15%,21%,16%,18%,11%,16%,24%,20%,23%,20%,16%,20%,21%,20%,20%,19%,24%,22%,18%,15%,23%,22%,28%,5%,18%,21%,26%,0%,22%,13%,30%,23%,22%,19%,10%,24%,20%,24%,23%,21%,22%,22%,21%,23%,22%,24%,24%,21%,15%,23%,18%,23%,23%,16%,21%,23%,18%,24%,25%,17%,24%,25%,17%,24%,24%,18%,24%,25%,17%,23%
,NET disagree,12%,11%,13%,11%,12%,12%,12%,13%,11%,10%,13%,9%,10%,11%,12%,13%,19%,9%,10%,14%,11%,10%,13%,7%,11%,18%,13%,11%,18%,11%,10%,10%,11%,15%,13%,12%,21%,12%,10%,10%,11%,14%,12%,11%,11%,11%,8%,13%,13%,11%,13%,9%,18%,4%,11%,10%,16%,9%,8%,14%,12%,9%,13%,10%,10%,17%,11%,10%,17%,14%,12%,15%,10%,10%,14%,12%,10%,14%,9%,11%,14%,11%,12%,13%,10%,12%,13%,10%,11%,14%,9%,11%,15%
,NET agree,58%,60%,57%,55%,58%,58%,60%,58%,65%,64%,58%,64%,62%,57%,61%,60%,48%,47%,56%,56%,59%,66%,58%,60%,55%,53%,54%,56%,47%,63%,43%,60%,45%,50%,57%,57%,49%,58%,54%,65%,60%,49%,49%,64%,61%,66%,28%,59%,59%,64%,49%,60%,46%,77%,43%,61%,53%,37%,65%,54%,62%,64%,59%,63%,63%,58%,62%,63%,60%,55%,62%,34%,55%,58%,60%,61%,52%,57%,58%,57%,60%,61%,56%,59%,63%,56%,57%,57%,58%,59%,61%,57%,57%
,Don't know,5%,4%,6%,7%,5%,5%,5%,5%,4%,7%,5%,4%,4%,6%,3%,5%,5%,17%,3%,0%,10%,4%,4%,8%,8%,3%,3%,4%,5%,5%,16%,3%,11%,8%,6%,5%,5%,4%,8%,3%,5%,7%,7%,3%,4%,2%,41%,1%,5%,3%,8%,6%,6%,1%,19%,5%,5%,25%,5%,5%,4%,2%,3%,3%,3%,2%,4%,3%,5%,5%,4%,22%,8%,5%,5%,5%,6%,6%,7%,4%,5%,5%,5%,7%,5%,5%,7%,7%,4%,6%,6%,5%,5%
,NET,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q52.4 To what extent do you agree or disagree with the following statements? | Britain is a great example of a multi-racial democracy,Unweighted base,3993,1736,2231,740,1016,966,694,447,130,276,148,744,677,64,683,298,563,261,197,82,253,256,1104,157,521,63,355,120,70,686,48,350,119,326,417,822,98,436,197,1578,967,580,37,994,1187,118,110,87,1417,339,11,1201,727,148,63,2595,1324,74,1062,2478,764,1363,416,832,1396,321,1355,1452,256,411,919,398,663,1390,1940,2439,1092,462,890,1769,1334,1425,1851,717,1494,1885,614,1031,1925,1037,1055,1747,1191
,Weighted base,3921,1856,2030,623,899,918,894,450,138,242,192,690,621,130,572,261,471,310,344,88,269,239,1065,131,506,69,344,108,65,701,60,353,154,382,462,855,109,387,225,1346,991,818,47,1200,676,116,72,67,1184,386,18,1415,577,169,105,2748,1090,84,1191,2258,733,1350,370,857,1400,264,1313,1480,194,357,903,400,660,1407,1853,2432,1090,399,897,1753,1271,1403,1849,669,1477,1879,565,998,1924,999,1069,1735,1116
,Strongly disagree,5%,5%,5%,3%,5%,5%,4%,7%,4%,4%,3%,4%,5%,4%,5%,7%,5%,5%,5%,4%,4%,7%,5%,6%,4%,17%,5%,6%,2%,4%,5%,3%,7%,5%,3%,5%,4%,5%,8%,4%,4%,6%,10%,4%,4%,5%,7%,5%,4%,6%,17%,4%,6%,2%,6%,4%,6%,6%,4%,5%,6%,4%,6%,3%,3%,4%,4%,4%,8%,6%,4%,9%,3%,4%,6%,5%,4%,7%,4%,4%,6%,4%,5%,7%,4%,5%,8%,3%,4%,8%,4%,4%,6%
,Somewhat disagree,11%,10%,11%,13%,14%,9%,9%,11%,8%,12%,9%,9%,11%,11%,9%,14%,15%,10%,9%,17%,14%,9%,10%,7%,12%,7%,12%,13%,16%,11%,3%,11%,8%,10%,11%,13%,17%,13%,7%,10%,8%,13%,6%,13%,10%,7%,5%,6%,11%,10%,0%,10%,14%,8%,12%,10%,13%,12%,8%,13%,8%,8%,12%,10%,11%,11%,9%,9%,16%,12%,11%,14%,7%,10%,13%,11%,12%,8%,7%,11%,13%,8%,13%,11%,8%,13%,12%,7%,13%,12%,7%,12%,13%
,Neither agree nor disagree,23%,23%,23%,24%,22%,24%,23%,22%,17%,20%,18%,22%,20%,23%,22%,23%,25%,29%,24%,29%,27%,22%,23%,19%,23%,26%,21%,29%,24%,23%,29%,19%,34%,26%,26%,23%,24%,20%,23%,20%,24%,27%,23%,18%,23%,29%,21%,26%,24%,16%,36%,22%,24%,28%,23%,22%,24%,21%,20%,24%,23%,17%,25%,21%,19%,25%,22%,21%,25%,24%,22%,29%,22%,25%,21%,21%,28%,23%,20%,26%,20%,20%,26%,19%,21%,25%,19%,22%,25%,19%,23%,23%,22%
,Somewhat agree,37%,36%,38%,36%,35%,37%,39%,36%,45%,41%,47%,40%,38%,33%,34%,39%,39%,26%,36%,25%,32%,35%,39%,30%,35%,26%,38%,28%,37%,40%,32%,40%,22%,32%,37%,37%,39%,40%,35%,39%,35%,33%,35%,41%,39%,38%,20%,25%,37%,38%,34%,37%,38%,45%,24%,38%,35%,27%,35%,38%,39%,43%,33%,43%,43%,31%,39%,40%,27%,32%,41%,22%,31%,38%,38%,38%,37%,30%,35%,39%,36%,37%,38%,34%,36%,39%,33%,34%,39%,36%,33%,39%,37%
,Strongly agree,21%,23%,19%,18%,19%,21%,22%,22%,23%,18%,21%,23%,21%,23%,27%,15%,13%,16%,24%,20%,18%,24%,20%,30%,21%,17%,23%,19%,16%,18%,20%,24%,19%,19%,16%,19%,13%,20%,20%,25%,25%,16%,21%,20%,22%,18%,12%,37%,21%,29%,13%,21%,15%,16%,17%,22%,18%,10%,30%,16%,20%,26%,22%,21%,21%,26%,24%,23%,19%,21%,20%,9%,29%,18%,19%,22%,15%,27%,26%,17%,21%,26%,15%,25%,27%,14%,23%,28%,17%,21%,26%,18%,20%
,NET disagree,16%,15%,16%,16%,19%,14%,13%,18%,12%,15%,13%,13%,16%,15%,14%,21%,20%,16%,14%,21%,17%,16%,15%,13%,16%,24%,17%,18%,18%,15%,8%,15%,16%,15%,14%,18%,21%,18%,15%,14%,12%,19%,16%,18%,15%,12%,11%,11%,16%,16%,17%,15%,20%,10%,18%,14%,19%,18%,11%,18%,14%,12%,18%,14%,14%,14%,13%,13%,24%,18%,15%,23%,10%,14%,19%,16%,16%,15%,11%,15%,20%,12%,17%,18%,12%,17%,19%,10%,17%,20%,11%,16%,19%
,NET agree,58%,59%,57%,54%,55%,58%,60%,58%,68%,59%,68%,62%,59%,56%,61%,53%,52%,43%,60%,45%,49%,59%,59%,60%,56%,43%,61%,48%,53%,58%,52%,64%,41%,52%,54%,55%,52%,60%,55%,64%,60%,49%,56%,61%,60%,56%,32%,62%,58%,66%,47%,58%,53%,61%,41%,60%,53%,36%,65%,54%,59%,69%,56%,64%,64%,58%,62%,63%,46%,54%,61%,31%,60%,56%,57%,60%,53%,57%,61%,56%,57%,63%,53%,58%,63%,53%,57%,62%,56%,57%,59%,57%,57%
,Don't know,4%,3%,4%,5%,4%,4%,4%,2%,3%,5%,1%,2%,5%,6%,3%,3%,3%,13%,2%,5%,6%,3%,3%,9%,4%,7%,2%,4%,5%,4%,11%,2%,10%,8%,6%,4%,3%,3%,7%,2%,4%,5%,5%,3%,2%,3%,36%,1%,3%,1%,0%,6%,4%,0%,17%,3%,4%,25%,3%,4%,4%,2%,1%,2%,2%,3%,2%,3%,4%,4%,2%,17%,8%,4%,3%,4%,3%,6%,7%,3%,3%,5%,3%,5%,4%,4%,5%,6%,3%,4%,6%,3%,3%
,NET,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q52.5 To what extent do you agree or disagree with the following statements? | The diversity at the top of Government is a positive thing which signals real change in the U.K,Unweighted base,3993,1736,2231,740,1016,966,694,447,130,276,148,744,677,64,683,298,563,261,197,82,253,256,1104,157,521,63,355,120,70,686,48,350,119,326,417,822,98,436,197,1578,967,580,37,994,1187,118,110,87,1417,339,11,1201,727,148,63,2595,1324,74,1062,2478,764,1363,416,832,1396,321,1355,1452,256,411,919,398,663,1390,1940,2439,1092,462,890,1769,1334,1425,1851,717,1494,1885,614,1031,1925,1037,1055,1747,1191
,Weighted base,3921,1856,2030,623,899,918,894,450,138,242,192,690,621,130,572,261,471,310,344,88,269,239,1065,131,506,69,344,108,65,701,60,353,154,382,462,855,109,387,225,1346,991,818,47,1200,676,116,72,67,1184,386,18,1415,577,169,105,2748,1090,84,1191,2258,733,1350,370,857,1400,264,1313,1480,194,357,903,400,660,1407,1853,2432,1090,399,897,1753,1271,1403,1849,669,1477,1879,565,998,1924,999,1069,1735,1116
,Strongly disagree,7%,7%,7%,5%,6%,7%,7%,8%,5%,5%,5%,6%,5%,2%,4%,15%,10%,5%,5%,18%,9%,6%,7%,2%,5%,12%,8%,3%,11%,6%,20%,4%,11%,8%,6%,8%,9%,7%,5%,5%,5%,10%,0%,6%,6%,8%,9%,3%,7%,5%,17%,5%,11%,2%,11%,6%,7%,6%,4%,8%,7%,5%,4%,5%,6%,5%,5%,6%,5%,7%,5%,15%,4%,4%,10%,7%,6%,8%,5%,6%,9%,6%,7%,8%,5%,7%,9%,4%,7%,9%,5%,6%,8%
,Somewhat disagree,11%,10%,11%,12%,11%,10%,11%,8%,9%,12%,8%,9%,10%,11%,10%,13%,15%,11%,9%,11%,9%,16%,11%,10%,8%,3%,10%,18%,10%,10%,6%,12%,15%,10%,10%,14%,7%,10%,14%,8%,9%,14%,16%,11%,9%,14%,7%,9%,10%,8%,0%,10%,13%,10%,11%,10%,11%,4%,8%,12%,8%,7%,10%,10%,10%,12%,10%,11%,14%,11%,12%,12%,9%,10%,11%,10%,11%,13%,9%,11%,12%,8%,12%,10%,8%,12%,11%,8%,12%,11%,9%,11%,12%
,Neither agree nor disagree,27%,27%,26%,31%,28%,26%,24%,29%,27%,23%,35%,25%,30%,23%,27%,19%,31%,27%,28%,23%,28%,19%,29%,20%,28%,35%,30%,26%,22%,26%,25%,26%,31%,30%,32%,26%,29%,28%,24%,24%,27%,31%,29%,25%,26%,23%,20%,26%,25%,23%,33%,27%,33%,35%,25%,26%,29%,31%,25%,28%,29%,25%,31%,26%,27%,23%,27%,25%,27%,28%,27%,27%,26%,30%,25%,26%,32%,20%,26%,30%,23%,25%,30%,21%,25%,29%,24%,26%,30%,23%,25%,30%,24%
,Somewhat agree,33%,34%,32%,32%,34%,32%,34%,33%,29%,35%,36%,35%,32%,44%,33%,31%,28%,26%,38%,29%,25%,37%,32%,37%,34%,29%,30%,29%,36%,36%,27%,35%,17%,24%,32%,34%,32%,36%,30%,37%,35%,25%,29%,36%,37%,33%,19%,46%,34%,36%,43%,35%,26%,38%,14%,35%,30%,19%,36%,31%,33%,38%,33%,38%,35%,30%,36%,38%,30%,31%,36%,16%,30%,34%,33%,34%,33%,30%,31%,35%,32%,33%,33%,31%,32%,35%,29%,32%,34%,31%,31%,35%,31%
,Strongly agree,18%,18%,18%,14%,16%,19%,20%,18%,24%,18%,13%,22%,19%,12%,23%,17%,12%,12%,16%,14%,19%,19%,17%,21%,17%,12%,19%,21%,16%,18%,6%,21%,14%,18%,15%,13%,18%,16%,19%,22%,19%,15%,17%,19%,19%,19%,7%,15%,21%,25%,6%,17%,11%,13%,15%,18%,18%,7%,23%,15%,18%,22%,19%,18%,19%,26%,19%,18%,17%,21%,18%,8%,23%,16%,17%,19%,14%,23%,22%,14%,19%,22%,13%,24%,24%,12%,22%,23%,14%,20%,23%,13%,20%
,NET disagree,17%,17%,18%,17%,17%,18%,18%,16%,13%,18%,13%,15%,15%,13%,14%,28%,24%,16%,15%,30%,18%,22%,18%,13%,14%,15%,18%,21%,21%,16%,25%,16%,26%,18%,16%,22%,16%,17%,19%,13%,14%,23%,16%,17%,15%,22%,16%,12%,17%,13%,17%,16%,24%,12%,22%,17%,19%,10%,12%,20%,16%,13%,14%,15%,16%,17%,15%,16%,20%,18%,17%,27%,13%,14%,21%,17%,17%,21%,13%,17%,21%,14%,19%,19%,14%,19%,20%,12%,18%,20%,14%,17%,20%
,NET agree,51%,52%,50%,46%,50%,52%,53%,51%,53%,53%,49%,58%,51%,56%,57%,48%,40%,39%,55%,43%,44%,56%,49%,59%,51%,40%,49%,49%,52%,54%,33%,56%,31%,43%,47%,47%,50%,52%,48%,59%,54%,40%,45%,55%,56%,51%,26%,61%,55%,61%,50%,52%,37%,51%,29%,53%,48%,26%,59%,47%,51%,60%,53%,56%,55%,56%,55%,56%,47%,52%,53%,24%,53%,50%,51%,52%,47%,53%,53%,49%,52%,55%,46%,55%,56%,46%,51%,56%,48%,51%,54%,48%,52%
,Don't know,5%,4%,6%,6%,5%,5%,5%,4%,6%,6%,2%,3%,5%,8%,3%,5%,5%,18%,2%,4%,11%,3%,4%,9%,7%,10%,3%,4%,5%,4%,17%,2%,12%,9%,5%,5%,6%,2%,9%,3%,5%,6%,9%,3%,3%,4%,38%,1%,4%,2%,0%,6%,6%,2%,24%,4%,5%,33%,4%,5%,4%,2%,3%,3%,3%,3%,3%,3%,7%,3%,3%,21%,8%,5%,4%,5%,5%,5%,7%,4%,5%,5%,5%,5%,5%,5%,4%,7%,4%,6%,7%,5%,4%
,NET,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Q52.6 To what extent do you agree or disagree with the following statements? | The values of some ethnic minority communities are ones that Britain increasingly needs -  hard work, resilience, respect for ",Unweighted base,3993,1736,2231,740,1016,966,694,447,130,276,148,744,677,64,683,298,563,261,197,82,253,256,1104,157,521,63,355,120,70,686,48,350,119,326,417,822,98,436,197,1578,967,580,37,994,1187,118,110,87,1417,339,11,1201,727,148,63,2595,1324,74,1062,2478,764,1363,416,832,1396,321,1355,1452,256,411,919,398,663,1390,1940,2439,1092,462,890,1769,1334,1425,1851,717,1494,1885,614,1031,1925,1037,1055,1747,1191
,Weighted base,3921,1856,2030,623,899,918,894,450,138,242,192,690,621,130,572,261,471,310,344,88,269,239,1065,131,506,69,344,108,65,701,60,353,154,382,462,855,109,387,225,1346,991,818,47,1200,676,116,72,67,1184,386,18,1415,577,169,105,2748,1090,84,1191,2258,733,1350,370,857,1400,264,1313,1480,194,357,903,400,660,1407,1853,2432,1090,399,897,1753,1271,1403,1849,669,1477,1879,565,998,1924,999,1069,1735,1116
,Strongly disagree,2%,3%,2%,3%,2%,2%,3%,3%,0%,1%,3%,2%,2%,3%,3%,3%,2%,2%,2%,9%,8%,1%,3%,2%,2%,2%,2%,3%,3%,1%,2%,3%,5%,4%,3%,2%,1%,3%,3%,2%,3%,3%,0%,2%,3%,1%,4%,2%,3%,2%,0%,2%,3%,1%,6%,2%,4%,6%,2%,3%,2%,2%,4%,2%,2%,5%,2%,3%,3%,2%,2%,2%,4%,2%,2%,2%,3%,5%,3%,2%,3%,2%,3%,3%,2%,3%,4%,4%,1%,3%,3%,2%,3%
